22:54:16 Host: 5a7967008530 data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
22:54:38 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
22:54:39 Host: 5a7967008530 data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
22:54:40 Host: 2ce755c64c3d data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
22:55:54 Host: 5a7967008530 data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
22:55:55 Host: 2ce755c64c3d data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
22:55:57 Host: 5a7967008530 data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
22:55:59 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
22:56:38 Host: 5a7967008530 data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
22:57:38 Host: 2ce755c64c3d data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
22:57:39 Host: 5a7967008530 data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
22:57:41 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
22:57:42 Host: 5a7967008530 data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
22:58:34 Host: 2ce755c64c3d data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
22:58:40 Host: 5a7967008530 data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
22:58:43 Host: 2ce755c64c3d data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
22:58:45 Host: 5a7967008530 data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
22:59:35 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
22:59:35 Host: 5a7967008530 data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
22:59:48 Host: 2ce755c64c3d data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
22:59:49 Host: 5a7967008530 data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:0:35 Host: 2ce755c64c3d data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
23:0:35 Host: 5a7967008530 data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
23:0:35 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:4:52 Host: 5a7967008530 data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
23:4:54 Host: 2ce755c64c3d data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
23:4:55 Host: 5a7967008530 data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:4:57 Host: 2ce755c64c3d data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
23:5:46 Host: 5a7967008530 data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
23:6:58 Host: 2ce755c64c3d data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:7:0 Host: 5a7967008530 data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
23:7:1 Host: 2ce755c64c3d data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
23:7:3 Host: 5a7967008530 data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
23:8:27 Host: 5a7967008530 data: calculator: f994130985b7, result: 5+5/5-3 = 3.0
23:8:30 Host: 2ce755c64c3d data: calculator: 6169dd7b947e, result: 5+5/5-3 = 3.0
23:8:31 Host: 5a7967008530 data: calculator: 58b2dd260f6e, result: 5+5/5-3 = 3.0
