t = 1.39, x = 4.1209, v = -7.2031
t = 1.40, x = 4.0488, v = -7.2080
t = 1.41, x = 3.9767, v = -7.2121
t = 1.42, x = 3.9046, v = -7.2155
t = 1.43, x = 3.8324, v = -7.2181
t = 1.44, x = 3.7602, v = -7.2200
t = 1.45, x = 3.6880, v = -7.2212
t = 1.46, x = 3.6158, v = -7.2217
t = 1.47, x = 3.5436, v = -7.2214
t = 1.48, x = 3.4714, v = -7.2204
t = 1.49, x = 3.3992, v = -7.2187
t = 1.50, x = 3.3270, v = -7.2163
t = 1.51, x = 3.2549, v = -7.2131
t = 1.52, x = 3.1827, v = -7.2093
t = 1.53, x = 3.1107, v = -7.2048
t = 1.54, x = 3.0386, v = -7.1996
t = 1.55, x = 2.9667, v = -7.1938
t = 1.56, x = 2.8948, v = -7.1872
t = 1.57, x = 2.8229, v = -7.1800
t = 1.58, x = 2.7512, v = -7.1721
t = 1.59, x = 2.6795, v = -7.1636
t = 1.60, x = 2.6079, v = -7.1544
t = 1.61, x = 2.5364, v = -7.1445
t = 1.62, x = 2.4650, v = -7.1341
t = 1.63, x = 2.3937, v = -7.1230
t = 1.64, x = 2.3225, v = -7.1112
t = 1.65, x = 2.2515, v = -7.0988
t = 1.66, x = 2.1806, v = -7.0858
t = 1.67, x = 2.1098, v = -7.0722
t = 1.68, x = 2.0391, v = -7.0580
t = 1.69, x = 1.9686, v = -7.0432
t = 1.70, x = 1.8983, v = -7.0278
t = 1.71, x = 1.8281, v = -7.0118
t = 1.72, x = 1.7580, v = -6.9952
t = 1.73, x = 1.6882, v = -6.9780
t = 1.74, x = 1.6185, v = -6.9603
t = 1.75, x = 1.5490, v = -6.9419
t = 1.76, x = 1.4796, v = -6.9230
t = 1.77, x = 1.4105, v = -6.9036
t = 1.78, x = 1.3416, v = -6.8836
t = 1.79, x = 1.2728, v = -6.8630
t = 1.80, x = 1.2043, v = -6.8419
t = 1.81, x = 1.1360, v = -6.8203
t = 1.82, x = 1.0679, v = -6.7981
t = 1.83, x = 1.0000, v = -6.7755
t = 1.84, x = 0.9324, v = -6.7522
t = 1.85, x = 0.8650, v = -6.7285
t = 1.86, x = 0.7978, v = -6.7043
t = 1.87, x = 0.7309, v = -6.6795
t = 1.88, x = 0.6642, v = -6.6543
t = 1.89, x = 0.5978, v = -6.6285
t = 1.90, x = 0.5316, v = -6.6023
t = 1.91, x = 0.4658, v = -6.5756
t = 1.92, x = 0.4001, v = -6.5484
t = 1.93, x = 0.3348, v = -6.5207
t = 1.94, x = 0.2697, v = -6.4925
t = 1.95, x = 0.2049, v = -6.4639
t = 1.96, x = 0.1404, v = -6.4349
t = 1.97, x = 0.0762, v = -6.4053
t = 1.98, x = 0.0123, v = -6.3754
t = 1.99, x = -0.0513, v = -6.3449
t = 2.00, x = -0.1146, v = -6.3141
t = 2.01, x = -0.1775, v = -6.2828
t = 2.02, x = -0.2402, v = -6.2510
t = 2.03, x = -0.3026, v = -6.2189
t = 2.04, x = -0.3646, v = -6.1863
t = 2.05, x = -0.4263, v = -6.1533
t = 2.06, x = -0.4877, v = -6.1199
t = 2.07, x = -0.5487, v = -6.0861
t = 2.08, x = -0.6094, v = -6.0519
t = 2.09, x = -0.6697, v = -6.0173
t = 2.10, x = -0.7297, v = -5.9823
t = 2.11, x = -0.7894, v = -5.9469
t = 2.12, x = -0.8487, v = -5.9112
t = 2.13, x = -0.9076, v = -5.8750
t = 2.14, x = -0.9662, v = -5.8385
t = 2.15, x = -1.0244, v = -5.8016
t = 2.16, x = -1.0822, v = -5.7643
t = 2.17, x = -1.1397, v = -5.7267
t = 2.18, x = -1.1967, v = -5.6888
t = 2.19, x = -1.2534, v = -5.6504
t = 2.20, x = -1.3097, v = -5.6118
t = 2.21, x = -1.3657, v = -5.5727
t = 2.22, x = -1.4212, v = -5.5334
t = 2.23, x = -1.4763, v = -5.4937
t = 2.24, x = -1.5311, v = -5.4537
t = 2.25, x = -1.5854, v = -5.4133
t = 2.26, x = -1.6393, v = -5.3727
t = 2.27, x = -1.6929, v = -5.3317
t = 2.28, x = -1.7460, v = -5.2904
t = 2.29, x = -1.7987, v = -5.2488
t = 2.30, x = -1.8510, v = -5.2069
t = 2.31, x = -1.9028, v = -5.1646
t = 2.32, x = -1.9542, v = -5.1221
t = 2.33, x = -2.0053, v = -5.0793
t = 2.34, x = -2.0558, v = -5.0362
t = 2.35, x = -2.1060, v = -4.9928
t = 2.36, x = -2.1557, v = -4.9492
t = 2.37, x = -2.2050, v = -4.9052
t = 2.38, x = -2.2538, v = -4.8610
t = 2.39, x = -2.3022, v = -4.8165
t = 2.40, x = -2.3501, v = -4.7718
t = 2.41, x = -2.3976, v = -4.7268
t = 2.42, x = -2.4447, v = -4.6815
t = 2.43, x = -2.4912, v = -4.6359
t = 2.44, x = -2.5374, v = -4.5902
t = 2.45, x = -2.5830, v = -4.5441
t = 2.46, x = -2.6283, v = -4.4978
t = 2.47, x = -2.6730, v = -4.4513
t = 2.48, x = -2.7173, v = -4.4046
t = 2.49, x = -2.7611, v = -4.3576
t = 2.50, x = -2.8044, v = -4.3104
t = 2.51, x = -2.8473, v = -4.2629
t = 2.52, x = -2.8897, v = -4.2152
t = 2.53, x = -2.9316, v = -4.1674
t = 2.54, x = -2.9730, v = -4.1192
t = 2.55, x = -3.0140, v = -4.0709
t = 2.56, x = -3.0545, v = -4.0224
t = 2.57, x = -3.0944, v = -3.9737
t = 2.58, x = -3.1339, v = -3.9247
t = 2.59, x = -3.1729, v = -3.8756
t = 2.60, x = -3.2114, v = -3.8262
t = 2.61, x = -3.2495, v = -3.7767
t = 2.62, x = -3.2870, v = -3.7270
t = 2.63, x = -3.3240, v = -3.6771
t = 2.64, x = -3.3605, v = -3.6270
t = 2.65, x = -3.3965, v = -3.5767
t = 2.66, x = -3.4321, v = -3.5263
t = 2.67, x = -3.4671, v = -3.4756
t = 2.68, x = -3.5016, v = -3.4248
t = 2.69, x = -3.5356, v = -3.3739
t = 2.70, x = -3.5690, v = -3.3227
t = 2.71, x = -3.6020, v = -3.2714
t = 2.72, x = -3.6345, v = -3.2200
t = 2.73, x = -3.6664, v = -3.1684
t = 2.74, x = -3.6978, v = -3.1166
t = 2.75, x = -3.7288, v = -3.0647
t = 2.76, x = -3.7591, v = -3.0127
t = 2.77, x = -3.7890, v = -2.9605
t = 2.78, x = -3.8183, v = -2.9081
t = 2.79, x = -3.8472, v = -2.8556
t = 2.80, x = -3.8755, v = -2.8030
t = 2.81, x = -3.9032, v = -2.7503
t = 2.82, x = -3.9305, v = -2.6974
t = 2.83, x = -3.9572, v = -2.6444
t = 2.84, x = -3.9834, v = -2.5912
t = 2.85, x = -4.0090, v = -2.5380
t = 2.86, x = -4.0341, v = -2.4846
t = 2.87, x = -4.0587, v = -2.4311
t = 2.88, x = -4.0827, v = -2.3775
t = 2.89, x = -4.1062, v = -2.3238
t = 2.90, x = -4.1292, v = -2.2700
t = 2.91, x = -4.1516, v = -2.2161
t = 2.92, x = -4.1735, v = -2.1621
t = 2.93, x = -4.1949, v = -2.1079
t = 2.94, x = -4.2157, v = -2.0537
t = 2.95, x = -4.2360, v = -1.9994
t = 2.96, x = -4.2557, v = -1.9450
t = 2.97, x = -4.2749, v = -1.8905
t = 2.98, x = -4.2935, v = -1.8359
t = 2.99, x = -4.3116, v = -1.7813
t = 3.00, x = -4.3291, v = -1.7265
t = 3.01, x = -4.3461, v = -1.6717
t = 3.02, x = -4.3626, v = -1.6168
t = 3.03, x = -4.3784, v = -1.5618
t = 3.04, x = -4.3938, v = -1.5068
t = 3.05, x = -4.4086, v = -1.4517
t = 3.06, x = -4.4228, v = -1.3965
t = 3.07, x = -4.4365, v = -1.3413
t = 3.08, x = -4.4496, v = -1.2860
t = 3.09, x = -4.4622, v = -1.2306
t = 3.10, x = -4.4743, v = -1.1752
t = 3.11, x = -4.4857, v = -1.1198
t = 3.12, x = -4.4967, v = -1.0643
t = 3.13, x = -4.5070, v = -1.0087
t = 3.14, x = -4.5168, v = -0.9531
t = 3.15, x = -4.5261, v = -0.8975
t = 3.16, x = -4.5348, v = -0.8418
t = 3.17, x = -4.5429, v = -0.7861
t = 3.18, x = -4.5505, v = -0.7303
t = 3.19, x = -4.5575, v = -0.6745
t = 3.20, x = -4.5640, v = -0.6187
t = 3.21, x = -4.5699, v = -0.5629
t = 3.22, x = -4.5752, v = -0.5070
t = 3.23, x = -4.5800, v = -0.4511
t = 3.24, x = -4.5843, v = -0.3952
t = 3.25, x = -4.5879, v = -0.3392
t = 3.26, x = -4.5911, v = -0.2833
t = 3.27, x = -4.5936, v = -0.2273
t = 3.28, x = -4.5956, v = -0.1714
t = 3.29, x = -4.5970, v = -0.1154
t = 3.30, x = -4.5979, v = -0.0594
t = 3.31, x = -4.5982, v = -0.0034
t = 3.32, x = -4.5980, v = 0.0525
t = 3.33, x = -4.5972, v = 0.1085
t = 3.34, x = -4.5958, v = 0.1645
t = 3.35, x = -4.5939, v = 0.2204
t = 3.36, x = -4.5914, v = 0.2763
t = 3.37, x = -4.5884, v = 0.3322
t = 3.38, x = -4.5848, v = 0.3880
t = 3.39, x = -4.5806, v = 0.4437
t = 3.40, x = -4.5759, v = 0.4994
t = 3.41, x = -4.5706, v = 0.5550
t = 3.42, x = -4.5648, v = 0.6105
t = 3.43, x = -4.5584, v = 0.6659
t = 3.44, x = -4.5515, v = 0.7212
t = 3.45, x = -4.5440, v = 0.7764
t = 3.46, x = -4.5359, v = 0.8315
t = 3.47, x = -4.5273, v = 0.8864
t = 3.48, x = -4.5182, v = 0.9412
t = 3.49, x = -4.5085, v = 0.9959
t = 3.50, x = -4.4983, v = 1.0504
t = 3.51, x = -4.4875, v = 1.1048
t = 3.52, x = -4.4762, v = 1.1589
t = 3.53, x = -4.4643, v = 1.2129
t = 3.54, x = -4.4519, v = 1.2668
t = 3.55, x = -4.4390, v = 1.3204
t = 3.56, x = -4.4255, v = 1.3738
t = 3.57, x = -4.4115, v = 1.4270
t = 3.58, x = -4.3970, v = 1.4800
t = 3.59, x = -4.3819, v = 1.5327
t = 3.60, x = -4.3663, v = 1.5853
t = 3.61, x = -4.3502, v = 1.6376
t = 3.62, x = -4.3336, v = 1.6896
t = 3.63, x = -4.3164, v = 1.7414
t = 3.64, x = -4.2988, v = 1.7929
t = 3.65, x = -4.2806, v = 1.8441
t = 3.66, x = -4.2619, v = 1.8951
t = 3.67, x = -4.2427, v = 1.9458
t = 3.68, x = -4.2230, v = 1.9962
t = 3.69, x = -4.2027, v = 2.0463
t = 3.70, x = -4.1820, v = 2.0960
t = 3.71, x = -4.1608, v = 2.1455
t = 3.72, x = -4.1391, v = 2.1946
t = 3.73, x = -4.1169, v = 2.2435
t = 3.74, x = -4.0943, v = 2.2920
t = 3.75, x = -4.0711, v = 2.3401
t = 3.76, x = -4.0475, v = 2.3879
t = 3.77, x = -4.0233, v = 2.4353
t = 3.78, x = -3.9987, v = 2.4824
t = 3.79, x = -3.9737, v = 2.5292
t = 3.80, x = -3.9482, v = 2.5755
t = 3.81, x = -3.9222, v = 2.6215
t = 3.82, x = -3.8957, v = 2.6671
t = 3.83, x = -3.8688, v = 2.7123
t = 3.84, x = -3.8415, v = 2.7571
t = 3.85, x = -3.8137, v = 2.8015
t = 3.86, x = -3.7855, v = 2.8455
t = 3.87, x = -3.7568, v = 2.8891
t = 3.88, x = -3.7277, v = 2.9323
t = 3.89, x = -3.6981, v = 2.9751
t = 3.90, x = -3.6682, v = 3.0174
t = 3.91, x = -3.6378, v = 3.0593
t = 3.92, x = -3.6070, v = 3.1008
t = 3.93, x = -3.5758, v = 3.1419
t = 3.94, x = -3.5441, v = 3.1825
t = 3.95, x = -3.5121, v = 3.2226
t = 3.96, x = -3.4797, v = 3.2623
t = 3.97, x = -3.4469, v = 3.3016
t = 3.98, x = -3.4137, v = 3.3404
t = 3.99, x = -3.3801, v = 3.3787
t = 4.00, x = -3.3461, v = 3.4165
t = 4.01, x = -3.3117, v = 3.4539
t = 4.02, x = -3.2770, v = 3.4908
t = 4.03, x = -3.2419, v = 3.5273
t = 4.04, x = -3.2065, v = 3.5632
t = 4.05, x = -3.1707, v = 3.5987
t = 4.06, x = -3.1345, v = 3.6337
t = 4.07, x = -3.0980, v = 3.6682
t = 4.08, x = -3.0611, v = 3.7022
t = 4.09, x = -3.0239, v = 3.7357
t = 4.10, x = -2.9864, v = 3.7687
t = 4.11, x = -2.9486, v = 3.8012
t = 4.12, x = -2.9104, v = 3.8333
t = 4.13, x = -2.8719, v = 3.8648
t = 4.14, x = -2.8331, v = 3.8958
t = 4.15, x = -2.7940, v = 3.9262
t = 4.16, x = -2.7546, v = 3.9562
t = 4.17, x = -2.7149, v = 3.9857
t = 4.18, x = -2.6749, v = 4.0146
t = 4.19, x = -2.6346, v = 4.0431
t = 4.20, x = -2.5940, v = 4.0710
t = 4.21, x = -2.5531, v = 4.0984
t = 4.22, x = -2.5120, v = 4.1252
t = 4.23, x = -2.4706, v = 4.1516
t = 4.24, x = -2.4290, v = 4.1774
t = 4.25, x = -2.3871, v = 4.2027
t = 4.26, x = -2.3449, v = 4.2275
t = 4.27, x = -2.3025, v = 4.2517
t = 4.28, x = -2.2599, v = 4.2755
t = 4.29, x = -2.2170, v = 4.2987
t = 4.30, x = -2.1739, v = 4.3213
t = 4.31, x = -2.1306, v = 4.3435
t = 4.32, x = -2.0871, v = 4.3651
t = 4.33, x = -2.0433, v = 4.3862
t = 4.34, x = -1.9993, v = 4.4067
t = 4.35, x = -1.9552, v = 4.4267
t = 4.36, x = -1.9108, v = 4.4462
t = 4.37, x = -1.8662, v = 4.4652
t = 4.38, x = -1.8215, v = 4.4836
